"sysdate","variable","municipio","value"
2022-01-01,"diesel","El Salto",21.8242857142857
2022-01-02,"diesel","El Salto",21.8304761904762
2022-01-03,"diesel","El Salto",21.8304761904762
2022-01-04,"diesel","El Salto",21.8771428571429
2022-01-05,"diesel","El Salto",21.8857142857143
2022-01-06,"diesel","El Salto",21.8666666666667
2022-01-07,"diesel","El Salto",21.8680952380952
2022-01-08,"diesel","El Salto",21.8895238095238
2022-01-09,"diesel","El Salto",21.9438095238095
2022-01-10,"diesel","El Salto",21.9438095238095
2022-01-11,"diesel","El Salto",21.9438095238095
2022-01-12,"diesel","El Salto",21.9814285714286
2022-01-13,"diesel","El Salto",21.9919047619048
2022-01-14,"diesel","El Salto",22.0071428571429
2022-01-15,"diesel","El Salto",22.0166666666667
2022-01-16,"diesel","El Salto",22.0166666666667
2022-01-17,"diesel","El Salto",22.0166666666667
2022-01-18,"diesel","El Salto",22.0261904761905
2022-01-19,"diesel","El Salto",22.0261904761905
2022-01-20,"diesel","El Salto",22.0333333333333
2022-01-21,"diesel","El Salto",22.047619047619
2022-01-22,"diesel","El Salto",22.052380952381
2022-01-23,"diesel","El Salto",22.0619047619048
2022-01-24,"diesel","El Salto",22.0619047619048
2022-01-25,"diesel","El Salto",22.0619047619048
2022-01-26,"diesel","El Salto",22.0766666666667
2022-01-27,"diesel","El Salto",22.0766666666667
2022-01-28,"diesel","El Salto",22.0857142857143
2022-01-29,"diesel","El Salto",22.0957142857143
2022-01-30,"diesel","El Salto",22.1704761904762
2022-01-31,"diesel","El Salto",22.1752380952381
2022-02-01,"diesel","El Salto",22.2347619047619
2022-02-02,"diesel","El Salto",22.2442857142857
2022-01-01,"premium","El Salto",22.982
2022-01-02,"premium","El Salto",22.9855
2022-01-03,"premium","El Salto",22.9855
2022-01-04,"premium","El Salto",23.014
2022-01-05,"premium","El Salto",23.0155
2022-01-06,"premium","El Salto",23.0155
2022-01-07,"premium","El Salto",23.0355
2022-01-08,"premium","El Salto",23.0405
2022-01-09,"premium","El Salto",23.0515
2022-01-10,"premium","El Salto",23.0515
2022-01-11,"premium","El Salto",23.0515
2022-01-12,"premium","El Salto",23.129
2022-01-13,"premium","El Salto",23.137
2022-01-14,"premium","El Salto",23.1625
2022-01-15,"premium","El Salto",23.1675
2022-01-16,"premium","El Salto",23.1675
2022-01-17,"premium","El Salto",23.182
2022-01-18,"premium","El Salto",23.182
2022-01-19,"premium","El Salto",23.182
2022-01-20,"premium","El Salto",23.197
2022-01-21,"premium","El Salto",23.2085
2022-01-22,"premium","El Salto",23.2125
2022-01-23,"premium","El Salto",23.2225
2022-01-24,"premium","El Salto",23.2225
2022-01-25,"premium","El Salto",23.2225
2022-01-26,"premium","El Salto",23.2225
2022-01-27,"premium","El Salto",23.2225
2022-01-28,"premium","El Salto",23.2285
2022-01-29,"premium","El Salto",23.2325
2022-01-30,"premium","El Salto",23.247
2022-01-31,"premium","El Salto",23.247
2022-02-01,"premium","El Salto",23.247
2022-02-02,"premium","El Salto",23.247
2022-01-01,"regular","El Salto",20.7971428571429
2022-01-02,"regular","El Salto",20.8247619047619
2022-01-03,"regular","El Salto",20.8247619047619
2022-01-04,"regular","El Salto",20.8704761904762
2022-01-05,"regular","El Salto",20.8528571428571
2022-01-06,"regular","El Salto",20.8547619047619
2022-01-07,"regular","El Salto",20.8790476190476
2022-01-08,"regular","El Salto",20.8857142857143
2022-01-09,"regular","El Salto",20.9004761904762
2022-01-10,"regular","El Salto",20.9004761904762
2022-01-11,"regular","El Salto",20.9004761904762
2022-01-12,"regular","El Salto",20.9028571428571
2022-01-13,"regular","El Salto",20.9042857142857
2022-01-14,"regular","El Salto",20.9071428571429
2022-01-15,"regular","El Salto",20.9404761904762
2022-01-16,"regular","El Salto",20.9404761904762
2022-01-17,"regular","El Salto",20.9404761904762
2022-01-18,"regular","El Salto",20.9404761904762
2022-01-19,"regular","El Salto",20.9433333333333
2022-01-20,"regular","El Salto",20.9590476190476
2022-01-21,"regular","El Salto",20.9685714285714
2022-01-22,"regular","El Salto",20.9785714285714
2022-01-23,"regular","El Salto",20.977619047619
2022-01-24,"regular","El Salto",20.977619047619
2022-01-25,"regular","El Salto",20.977619047619
2022-01-26,"regular","El Salto",20.9880952380952
2022-01-27,"regular","El Salto",20.9880952380952
2022-01-28,"regular","El Salto",21
2022-01-29,"regular","El Salto",21.0090476190476
2022-01-30,"regular","El Salto",21.0290476190476
2022-01-31,"regular","El Salto",21.0385714285714
2022-02-01,"regular","El Salto",21.0385714285714
2022-02-02,"regular","El Salto",21.0528571428571
2022-01-01,"diesel","Guadalajara",21.8166071428571
2022-01-02,"diesel","Guadalajara",21.8160714285714
2022-01-03,"diesel","Guadalajara",21.80875
2022-01-04,"diesel","Guadalajara",21.8051785714286
2022-01-05,"diesel","Guadalajara",21.8173214285714
2022-01-06,"diesel","Guadalajara",21.8083928571429
2022-01-07,"diesel","Guadalajara",21.8082142857143
2022-01-08,"diesel","Guadalajara",21.8585714285714
2022-01-09,"diesel","Guadalajara",21.8498214285714
2022-01-10,"diesel","Guadalajara",21.83375
2022-01-11,"diesel","Guadalajara",21.8516071428571
2022-01-12,"diesel","Guadalajara",21.8853571428571
2022-01-13,"diesel","Guadalajara",21.8948214285714
2022-01-14,"diesel","Guadalajara",21.9010714285714
