"sysdate","variable","value"
2019-05-03,"diesel",21.6311811023622
2019-05-06,"diesel",21.6287401574803
2019-05-07,"diesel",21.6230708661417
2019-05-08,"diesel",21.6131496062992
2019-05-09,"diesel",21.6040551181102
2019-05-10,"diesel",21.5863385826772
2019-05-13,"diesel",21.5804330708661
2019-05-14,"diesel",21.5799606299213
2019-05-15,"diesel",21.5805511811024
2019-05-16,"diesel",21.5773228346457
2019-05-17,"diesel",21.5735433070866
2019-05-20,"diesel",21.572874015748
2019-05-21,"diesel",21.5697637795276
2019-05-22,"diesel",21.5846456692913
2019-05-23,"diesel",21.5949212598425
2019-05-24,"diesel",21.6010236220472
2019-05-27,"diesel",21.6015748031496
2019-05-28,"diesel",21.6015748031496
2019-05-29,"diesel",21.5822440944882
2019-05-30,"diesel",21.5676377952756
2019-05-31,"diesel",21.551811023622
2019-06-03,"diesel",21.515
2019-06-04,"diesel",21.5082352941176
2019-06-06,"diesel",21.4713725490196
2019-06-07,"diesel",21.4336470588235
2019-06-10,"diesel",21.4034901960784
2019-06-11,"diesel",21.3976078431373
2019-06-12,"diesel",21.4029803921569
2019-06-13,"diesel",21.3921568627451
2019-06-14,"diesel",21.3705098039216
2019-06-17,"diesel",21.3408984375
2019-06-18,"diesel",21.3455642023346
2019-06-19,"diesel",21.3519844357977
2019-06-20,"diesel",21.3513565891473
2019-06-21,"diesel",21.347519379845
2019-06-24,"diesel",21.3464864864865
2019-06-25,"diesel",21.347528957529
2019-06-26,"diesel",21.3586872586873
2019-06-27,"diesel",21.3793822393822
2019-06-28,"diesel",21.3988803088803
2019-07-02,"diesel",21.4137065637066
2019-07-04,"diesel",21.4206563706564
2019-07-05,"diesel",21.4162548262548
2019-07-08,"diesel",21.4123938223938
2019-07-09,"diesel",21.4120077220077
2019-07-10,"diesel",21.4148648648649
2019-07-11,"diesel",21.4068725868726
2019-07-12,"diesel",21.3781467181467
2019-07-15,"diesel",21.3621621621622
2019-07-16,"diesel",21.3640154440154
2019-07-17,"diesel",21.3775675675676
2019-07-18,"diesel",21.392277992278
2019-07-19,"diesel",21.3991505791506
2019-07-22,"diesel",21.4011153846154
2019-07-23,"diesel",21.4000769230769
2019-07-24,"diesel",21.3891153846154
2019-07-25,"diesel",21.3781153846154
2019-07-26,"diesel",21.3746538461538
2019-07-29,"diesel",21.3635769230769
2019-07-30,"diesel",21.3632307692308
2019-07-31,"diesel",21.3676923076923
2019-08-01,"diesel",21.371
2019-08-02,"diesel",21.3767692307692
2019-08-05,"diesel",21.3870498084291
2019-08-06,"diesel",21.3866283524904
2019-08-07,"diesel",21.3870342205323
2019-08-08,"diesel",21.3743346007605
2019-08-09,"diesel",21.3558174904943
2019-08-12,"diesel",21.3268060836502
2019-08-13,"diesel",21.3213307984791
2019-08-14,"diesel",21.3045247148289
2019-08-15,"diesel",21.2864258555133
2019-08-16,"diesel",21.2719391634981
2019-08-19,"diesel",21.2523574144487
2019-08-20,"diesel",21.2527376425856
2019-08-21,"diesel",21.2571482889734
2019-08-22,"diesel",21.2577946768061
2019-08-23,"diesel",21.2680988593156
2019-08-27,"diesel",21.2766920152091
2019-08-28,"diesel",21.2796197718631
2019-08-29,"diesel",21.284144486692
2019-08-30,"diesel",21.2868060836502
2019-09-02,"diesel",21.2909505703422
2019-09-03,"diesel",21.2907984790875
2019-09-04,"diesel",21.2916730038023
2019-09-05,"diesel",21.2868060836502
2019-09-06,"diesel",21.2852091254753
2019-09-09,"diesel",21.2816349809886
2019-09-10,"diesel",21.2801140684411
2019-09-11,"diesel",21.2784790874525
2019-09-12,"diesel",21.2774144486692
2019-09-13,"diesel",21.2773003802281
2019-09-17,"diesel",21.2785551330798
2019-09-18,"diesel",21.2768060836502
2019-09-19,"diesel",21.2630038022814
2019-09-20,"diesel",21.2551330798479
2019-09-23,"diesel",21.2479087452471
2019-09-24,"diesel",21.245969581749
2019-09-25,"diesel",21.2561216730038
2019-09-26,"diesel",21.264144486692
2019-09-30,"diesel",21.2702661596958
2019-10-01,"diesel",21.2709885931559
2019-10-02,"diesel",21.2706463878327
2019-10-03,"diesel",21.2637642585551
2019-10-04,"diesel",21.2593155893536
2019-10-07,"diesel",21.2435227272727
2019-10-08,"diesel",21.2430418250951
2019-10-09,"diesel",21.2323574144487
2019-10-21,"diesel",21.213536121673
2019-10-30,"diesel",21.1934980988593
2019-11-01,"diesel",21.191711026616
2019-11-04,"diesel",21.1877186311787
2019-11-05,"diesel",21.1884030418251
2019-11-06,"diesel",21.18463878327
2019-11-07,"diesel",21.1778707224335
2019-11-11,"diesel",21.1776045627376
2019-11-13,"diesel",21.17875
2019-11-14,"diesel",21.1806818181818
2019-11-19,"diesel",21.1854545454545
2019-11-20,"diesel",21.1865151515152
2019-11-26,"diesel",21.2017735849057
2019-11-27,"diesel",21.2087547169811
2019-11-28,"diesel",21.2099622641509
2019-11-29,"diesel",21.2277358490566
2019-12-02,"diesel",21.2489056603774
2019-12-03,"diesel",21.2487547169811
2019-12-04,"diesel",21.2585283018868
2019-12-05,"diesel",21.2610566037736
2019-12-09,"diesel",21.259320754717
2019-12-11,"diesel",21.2458490566038
2019-12-12,"diesel",21.2415471698113
2019-12-13,"diesel",21.2350566037736
2019-12-16,"diesel",21.2309056603774
2019-12-17,"diesel",21.2304528301887
2019-12-18,"diesel",21.2302264150943
2019-12-19,"diesel",21.2299245283019
2019-12-20,"diesel",21.233320754717
2020-01-08,"diesel",21.2964285714286
2020-01-09,"diesel",21.2907142857143
2020-01-10,"diesel",21.2931203007519
2020-01-13,"diesel",21.2836090225564
2020-01-14,"diesel",21.2841353383459
2020-01-15,"diesel",21.2854511278195
2020-01-16,"diesel",21.2795864661654
2020-01-17,"diesel",21.2722180451128
2020-01-20,"diesel",21.2698120300752
2020-01-21,"diesel",21.2764661654135
2020-01-22,"diesel",21.2915789473684
2020-01-23,"diesel",21.2957518796992
2020-01-24,"diesel",21.2962406015038
2020-01-27,"diesel",21.3548496240602
2020-01-28,"diesel",21.3581578947368
2020-01-30,"diesel",21.2784962406015
2020-01-31,"diesel",21.2684586466165
2020-02-04,"diesel",21.2253007518797
2020-02-05,"diesel",21.2171052631579
2020-02-10,"diesel",21.1280827067669
2020-02-11,"diesel",21.1253759398496
2020-02-13,"diesel",21.1124812030075
2020-02-17,"diesel",21.0975939849624
2020-02-18,"diesel",21.0977902621723
2020-02-19,"diesel",21.0947940074906
2020-02-20,"diesel",21.0977528089888
2020-02-21,"diesel",21.0910112359551
2020-02-24,"diesel",21.0811235955056
2020-02-25,"diesel",21.0825842696629
2020-02-26,"diesel",21.0886516853933
2020-02-27,"diesel",21.0862921348315
2020-02-28,"diesel",21.0670037453184
2020-03-02,"diesel",20.9922471910112
2020-03-03,"diesel",21.0007116104869
2020-03-04,"diesel",20.9912359550562
2020-03-05,"diesel",20.9825468164794
2020-03-06,"diesel",20.9835580524345
2020-03-09,"diesel",20.9605992509363
2020-03-10,"diesel",20.9576029962547
2020-03-11,"diesel",20.9311610486891
2020-03-12,"diesel",20.8623595505618
2020-03-13,"diesel",20.7901872659176
2020-03-17,"diesel",20.5391760299625
2020-03-18,"diesel",20.470861423221
2020-03-19,"diesel",20.2637453183521
2020-03-20,"diesel",20.0989416058394
2020-03-21,"diesel",19.7046715328467
2020-03-22,"diesel",19.7075655430712
2020-03-23,"diesel",19.6730337078652
2020-03-24,"diesel",19.6094756554307
2020-03-25,"diesel",19.5453183520599
2020-03-26,"diesel",19.4911235955056
2020-03-27,"diesel",19.4821348314607
2020-03-28,"diesel",19.4856179775281
2020-03-29,"diesel",19.448202247191
2020-03-30,"diesel",19.4283146067416
2020-03-31,"diesel",19.3958052434457
2020-04-01,"diesel",19.3347940074906
2020-04-02,"diesel",19.3007116104869
2020-04-03,"diesel",19.2779026217228
2020-04-04,"diesel",19.2425093632959
2020-04-05,"diesel",19.2258052434457
2020-04-06,"diesel",19.225543071161
2020-04-07,"diesel",19.2125093632959
2020-04-08,"diesel",19.2224719101124
2020-04-09,"diesel",19.2459176029963
2020-04-10,"diesel",19.2053558052434
2020-04-11,"diesel",19.200074906367
2020-04-12,"diesel",19.19265917603
2020-04-13,"diesel",19.1881647940075
2020-04-14,"diesel",19.1803370786517
2020-04-15,"diesel",19.1676779026217
2020-04-16,"diesel",19.1512359550562
2020-04-17,"diesel",19.1297388059701
2020-04-18,"diesel",19.0994776119403
2020-04-19,"diesel",19.0874253731343
2020-04-20,"diesel",19.0873880597015
2020-04-21,"diesel",19.0817910447761
2020-04-22,"diesel",19.0798880597015
2020-04-23,"diesel",19.0572014925373
2020-04-24,"diesel",19.0045895522388
2020-04-25,"diesel",18.9012686567164
2020-04-26,"diesel",18.8621268656716
2020-04-27,"diesel",18.8398880597015
2020-04-28,"diesel",18.8164179104478
2020-04-29,"diesel",18.7489925373134
2020-04-30,"diesel",18.6626492537313
2020-05-01,"diesel",18.6073880597015
2020-05-02,"diesel",18.5694402985075
2020-05-03,"diesel",18.5302611940299
2020-05-04,"diesel",18.5294402985075
2020-05-05,"diesel",18.5276119402985
2020-05-06,"diesel",18.5423134328358
2020-05-07,"diesel",18.5094402985075
2020-05-08,"diesel",18.5139552238806
2020-05-09,"diesel",18.5390298507463
2020-05-10,"diesel",18.5041044776119
2020-05-11,"diesel",18.5064179104478
2020-05-12,"diesel",18.502947761194
2020-05-13,"diesel",18.4917910447761
2020-05-14,"diesel",18.4985820895522
2020-05-15,"diesel",18.5058582089552
2020-05-16,"diesel",18.4705970149254
2020-05-17,"diesel",18.4698134328358
2020-05-18,"diesel",18.4586194029851
2020-05-19,"diesel",18.4374253731343
2020-05-20,"diesel",18.4794029850746
2020-05-21,"diesel",18.5399626865672
2020-05-22,"diesel",18.6240298507463
2020-05-23,"diesel",18.6364552238806
2020-05-24,"diesel",18.6441791044776
2020-05-25,"diesel",18.648171641791
2020-05-26,"diesel",18.6556343283582
2020-05-27,"diesel",18.6561194029851
2020-05-29,"diesel",18.6392910447761
2020-05-30,"diesel",18.6239925373134
2020-05-31,"diesel",18.5951865671642
2020-06-01,"diesel",18.5830970149254
2020-06-02,"diesel",18.5820149253731
2020-06-03,"diesel",18.5639925373134
2020-06-04,"diesel",18.5752985074627
2020-06-05,"diesel",18.5907835820896
2020-06-06,"diesel",18.5966044776119
2020-06-07,"diesel",18.596828358209
2020-06-08,"diesel",18.5971268656716
2020-06-09,"diesel",18.6014179104478
2020-06-10,"diesel",18.6423880597015
2020-06-11,"diesel",18.6869776119403
2020-06-12,"diesel",18.7160447761194
2020-06-13,"diesel",18.7427611940298
2020-06-14,"diesel",18.7479104477612
2020-06-15,"diesel",18.7517164179104
2020-06-16,"diesel",18.7525373134328
2020-06-17,"diesel",18.759776119403
2020-06-18,"diesel",18.7817164179104
2020-06-19,"diesel",18.8284328358209
2020-06-20,"diesel",18.8816417910448
2020-06-21,"diesel",18.9871268656716
2020-06-22,"diesel",19.0057462686567
2020-06-23,"diesel",19.0401492537313
2020-06-24,"diesel",19.1241417910448
2020-06-25,"diesel",19.1754850746269
2020-06-26,"diesel",19.2248507462687
2020-06-27,"diesel",19.2455597014925
2020-06-28,"diesel",19.2457089552239
2020-06-29,"diesel",19.250223880597
2020-06-30,"diesel",19.2623134328358
2020-07-01,"diesel",19.2594402985075
2020-07-02,"diesel",19.2870149253731
2020-07-03,"diesel",19.3297388059701
2020-07-04,"diesel",19.3739179104478
2020-07-05,"diesel",19.4022014925373
2020-07-06,"diesel",19.4089925373134
2020-07-07,"diesel",19.4219776119403
2020-07-08,"diesel",19.4542537313433
2020-07-09,"diesel",19.4760447761194
2020-07-10,"diesel",19.5076119402985
2020-07-11,"diesel",19.5469776119403
2020-07-12,"diesel",19.584776119403
2020-07-13,"diesel",19.592052238806
2020-07-14,"diesel",19.5977985074627
2020-07-15,"diesel",19.6223880597015
2020-07-16,"diesel",19.6334701492537
2020-07-17,"diesel",19.636828358209
2020-07-18,"diesel",19.654328358209
2020-07-19,"diesel",19.6547388059701
2020-07-20,"diesel",19.6519029850746
2020-07-21,"diesel",19.6532835820896
2020-07-22,"diesel",19.6466791044776
2020-07-23,"diesel",19.6640671641791
