cve_ent,entidad,fecha,org,vivienda,creditos,monto,lcreditos,lmonto
1,Aguascalientes,01/01/2016,BANCA,Nueva,17,14845393,,
1,Aguascalientes,01/01/2016,BANJERCITO,Nueva,,,,
1,Aguascalientes,01/01/2016,CFE,Nueva,,,,
1,Aguascalientes,01/01/2016,CONAVI,Nueva,,,,
1,Aguascalientes,01/01/2016,FONHAPO,Nueva,,,,
1,Aguascalientes,01/01/2016,FOVISSSTE,Nueva,7,4071578.9375,,
1,Aguascalientes,01/01/2016,HABITATMEXICO,Nueva,,,,
1,Aguascalientes,01/01/2016,INFONAVIT,Nueva,86,25629812.6729,,
1,Aguascalientes,01/01/2016,ISSFAM,Nueva,,,,
1,Aguascalientes,01/01/2016,SHF,Nueva,,,,
1,Aguascalientes,01/01/2016,BANCA,Usada,117,88317723,,
1,Aguascalientes,01/01/2016,BANJERCITO,Usada,,,,
1,Aguascalientes,01/01/2016,CFE,Usada,1,728312,,
1,Aguascalientes,01/01/2016,CONAVI,Usada,24,1235277.9369,,
1,Aguascalientes,01/01/2016,FONHAPO,Usada,,,,
1,Aguascalientes,01/01/2016,FOVISSSTE,Usada,23,13525242.9376,,
1,Aguascalientes,01/01/2016,HABITATMEXICO,Usada,6,176398.8048,,
1,Aguascalientes,01/01/2016,INFONAVIT,Usada,157,44587905.9971,,
1,Aguascalientes,01/01/2016,ISSFAM,Usada,,,,
1,Aguascalientes,01/01/2016,SHF,Usada,,,,
1,Aguascalientes,01/02/2016,BANCA,Nueva,24,20177910,,
1,Aguascalientes,01/02/2016,BANJERCITO,Nueva,1,384708.5,,
1,Aguascalientes,01/02/2016,CFE,Nueva,2,1517782,,
1,Aguascalientes,01/02/2016,CONAVI,Nueva,17,1091142.7303,,
1,Aguascalientes,01/02/2016,FONHAPO,Nueva,,,,
1,Aguascalientes,01/02/2016,FOVISSSTE,Nueva,14,9077585.1875,,
1,Aguascalientes,01/02/2016,HABITATMEXICO,Nueva,,,,
1,Aguascalientes,01/02/2016,INFONAVIT,Nueva,148,43992115.7821,,
1,Aguascalientes,01/02/2016,ISSFAM,Nueva,,,,
1,Aguascalientes,01/02/2016,SHF,Nueva,,,,
1,Aguascalientes,01/02/2016,BANCA,Usada,176,132316775,,
1,Aguascalientes,01/02/2016,BANJERCITO,Usada,1,258345.7344,,
1,Aguascalientes,01/02/2016,CFE,Usada,,,,
1,Aguascalientes,01/02/2016,CONAVI,Usada,339,20645924.771,,
1,Aguascalientes,01/02/2016,FONHAPO,Usada,,,,
1,Aguascalientes,01/02/2016,FOVISSSTE,Usada,78,39701550.2503,,
1,Aguascalientes,01/02/2016,HABITATMEXICO,Usada,2,58799.6016,,
1,Aguascalientes,01/02/2016,INFONAVIT,Usada,503,135355275.8644,,
1,Aguascalientes,01/02/2016,ISSFAM,Usada,,,,
1,Aguascalientes,01/02/2016,SHF,Usada,,,,
1,Aguascalientes,01/03/2016,BANCA,Nueva,28,15377917,,
1,Aguascalientes,01/03/2016,BANJERCITO,Nueva,,,,
1,Aguascalientes,01/03/2016,CFE,Nueva,,,,
1,Aguascalientes,01/03/2016,CONAVI,Nueva,13,793008.0995,,
1,Aguascalientes,01/03/2016,FONHAPO,Nueva,,,,
1,Aguascalientes,01/03/2016,FOVISSSTE,Nueva,23,13516370.6095,,
1,Aguascalientes,01/03/2016,HABITATMEXICO,Nueva,,,,
1,Aguascalientes,01/03/2016,INFONAVIT,Nueva,217,62547962.4854,,
1,Aguascalientes,01/03/2016,ISSFAM,Nueva,,,,
